8656600,20200301
9348700,20200302
8974750,20200303
9575300,20200304
9532150,20200305
9695700,20200306
9345600,20200307
8141750,20200308
6402450,20200309
8467850,20200310
8532900,20200311
5817800,20200312
45160000,20200313
6073500,20200314
5958450,20200315
2893100,20200316
3924350,20200317
5101100,20200318
5038550,20200319
2773350,20200320
4021200,20200321
5758800,20200322
5372850,20200323
5761300,20200324
6329050,20200325
8429550,20200326
8703350,20200327
8060500,20200328
8865100,20200329
7959750,20200330
